binary_package	binary_version	source_package	source_version
libsecret-1-0	0.20.5-2	libsecret	0.20.5-2
libsecret-1-dev	0.20.5-2	libsecret	0.20.5-2
libselinux1	3.3-1build2	libselinux	3.3-1build2
libselinux1-dev	3.3-1build2	libselinux	3.3-1build2
libsemanage2	3.3-1build2	libsemanage	3.3-1build2
libsensors5	1:3.6.0-7ubuntu1	lm-sensors	1:3.6.0-7ubuntu1
libsepol-dev	3.3-1build1	libsepol	3.3-1build1
libsepol2	3.3-1build1	libsepol	3.3-1build1
libsigsegv2	2.13-1ubuntu3	libsigsegv	2.13-1ubuntu3
libsm-dev	2:1.2.3-1build2	libsm	2:1.2.3-1build2
libsm6	2:1.2.3-1build2	libsm	2:1.2.3-1build2
libsmartcols1	2.37.2-4ubuntu3.5	util-linux	2.37.2-4ubuntu3.5
libsndfile1	1.0.31-2ubuntu0.2	libsndfile	1.0.31-2ubuntu0.2
libsqlite3-0	3.37.2-2ubuntu0.5	sqlite3	3.37.2-2ubuntu0.5
libsqlite3-dev	3.37.2-2ubuntu0.5	sqlite3	3.37.2-2ubuntu0.5
libss2	1.46.5-2ubuntu1.2	e2fsprogs	1.46.5-2ubuntu1.2
libssh-4	0.9.6-2ubuntu0.22.04.7	libssh	0.9.6-2ubuntu0.22.04.7
libssl-dev	3.0.2-0ubuntu1.23	openssl	3.0.2-0ubuntu1.23
libssl3	3.0.2-0ubuntu1.23	openssl	3.0.2-0ubuntu1.23
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3
libstdc++6	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libsybdb5	1.3.6-1	freetds	1.3.6-1
libsystemd0	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
libtasn1-6	4.18.0-4ubuntu0.2	libtasn1-6	4.18.0-4ubuntu0.2
libthai-dev	0.1.29-1build1	libthai	0.1.29-1build1
libthai0	0.1.29-1build1	libthai	0.1.29-1build1
libtiff-dev	4.3.0-6ubuntu0.13	tiff	4.3.0-6ubuntu0.13
libtiff5	4.3.0-6ubuntu0.13	tiff	4.3.0-6ubuntu0.13
libtiffxx5	4.3.0-6ubuntu0.13	tiff	4.3.0-6ubuntu0.13
libtinfo6	6.3-2ubuntu0.1	ncurses	6.3-2ubuntu0.1
libtirpc-dev	1.3.2-2ubuntu0.1	libtirpc	1.3.2-2ubuntu0.1
libtirpc3	1.3.2-2ubuntu0.1	libtirpc	1.3.2-2ubuntu0.1
libtommath1	1.2.0-6ubuntu0.22.04.1	libtommath	1.2.0-6ubuntu0.22.04.1
libtsan0	11.4.0-1ubuntu1~22.04.3	gcc-11	11.4.0-1ubuntu1~22.04.3
libubsan1	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libuchardet0	0.0.7-1build2	uchardet	0.0.7-1build2
libudev-dev	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
libudev1	249.11-0ubuntu3.20	systemd	249.11-0ubuntu3.20
libunistring2	1.0-1	libunistring	1.0-1
libunity-dev	7.1.4+19.04.20190319-6build1	libunity	7.1.4+19.04.20190319-6build1
libunity-protocol-private0	7.1.4+19.04.20190319-6build1	libunity	7.1.4+19.04.20190319-6build1
libunity9	7.1.4+19.04.20190319-6build1	libunity	7.1.4+19.04.20190319-6build1
